"Rank"	"CCDS_ID"	"GENE_NAME"	"CHR"	"DESCRIPTION"	"N_SPECIES"	"PVAL"	"QVAL"	"FST"	"dNdS_REF"
7194	CCDS31710.1	OR8B4	chr11	\olfactory receptor, family 8, subfamily B, member 4\	5	1	0.987	0.0554	0
7195	CCDS34224.1	CDC42SE2	chr5	CDC42 small effector 2	7	1	0.987	0	0
7196	CCDS43625.1	TRIM56	chr7	tripartite motif-containing 56	4	1	0.987	0.134	0
7197	CCDS5933.1	XRCC2	chr7	X-ray repair complementing defective repair in Chinese hamster cells 2	7	1	0.987	0	0
7198	CCDS8680.1	PLCZ1	chr12	\phospholipase C, zeta 1\	4	1	0.987	0	0
7199	CCDS32810.1	DSC3	chr18	desmocollin 3	5	1	0.987	0.00185	0
7200	CCDS10020.1	OCA2	chr15	oculocutaneous albinism II	7	1	0.987	0.107	0
7201	CCDS10204.1	PARP16	chr15	\poly (ADP-ribose) polymerase family, member 16\	6	1	0.987	0.145	0
7202	CCDS9140.1	ANKRD13A	chr12	ankyrin repeat domain 13A	7	1	0.987	0.331	0
7203	CCDS43192.1	C3orf43	chr3	chromosome 3 open reading frame 43	3	1	0.987	0.185	0
7204	CCDS6672.1	AGTPBP1	chr9	ATP/GTP binding protein 1	7	1	0.987	0.0535	0
7205	CCDS10944.1	ADAD2	chr16	adenosine deaminase domain containing 2	3	1	0.987	0.0688	0
7206	CCDS2631.1	SATB1	chr3	SATB homeobox 1	7	1	0.987	0	0
7207	CCDS4371.1	DOCK2	chr5	dedicator of cytokinesis 2	7	1	0.987	0.0045	0
7208	CCDS13914.1	HMOX1	chr22	heme oxygenase (decycling) 1	7	1	0.987	0	0
7209	CCDS10845.1	GFOD2	chr16	glucose-fructose oxidoreductase domain containing 2	7	1	0.987	0.273	0
7210	CCDS31562.1	OR4D6	chr11	\olfactory receptor, family 4, subfamily D, member 6\	5	1	0.987	0.141	0
7211	CCDS42156.1	TGFB1I1	chr16	transforming growth factor beta 1 induced transcript 1	6	1	0.987	0.118	0
7212	CCDS33860.1	AMOTL2	chr3	angiomotin like 2	7	1	0.987	0.133	0
7213	CCDS10120.2	SHF	chr15	Src homology 2 domain containing F	7	1	0.987	0.0758	0
7214	CCDS4722.1	LSM2	chr6	\LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)\	6	1	0.987	0.107	0
7215	CCDS8927.1	GPR182	chr12	G protein-coupled receptor 182	7	1	0.987	0.113	0
7216	CCDS31684.1	TMPRSS4	chr11	\transmembrane protease, serine 4\	7	1	0.987	0.064	0
7217	CCDS12136.1	TICAM1	chr19	toll-like receptor adaptor molecule 1	5	1	0.987	0.0212	0
7218	CCDS12455.1	MAG	chr19	myelin associated glycoprotein	6	1	0.987	0.186	0
7219	CCDS1799.1	GEMIN6	chr2	gem (nuclear organelle) associated protein 6	7	1	0.987	0.0707	0
7220	CCDS428.1	SF3A3	chr1	\splicing factor 3a, subunit 3, 60kDa\	7	1	0.987	0.0418	0
7221	CCDS33754.1	DALRD3	chr3	DALR anticodon binding domain containing 3	6	1	0.987	0.0446	0
7222	CCDS12346.1	SLC35E1	chr19	\solute carrier family 35, member E1\	7	1	0.987	0.0397	0
7223	CCDS10394.1	TARSL2	chr15	threonyl-tRNA synthetase-like 2	6	1	0.987	0.23	0
7224	CCDS31503.1	OR4C11	chr11	\olfactory receptor, family 4, subfamily C, member 11\	3	1	0.987	0.00754	0
7225	CCDS12901.1	LILRA1	chr19	\leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1\	3	1	0.987	0.0411	0
7226	CCDS10281.1	SNUPN	chr15	snurportin 1	6	1	0.987	0	0
7227	CCDS9956.1	DEGS2	chr14	\degenerative spermatocyte homolog 2, lipid desaturase (Drosophila)\	6	1	0.987	0.00963	0
7228	CCDS4730.1	RDBP	chr6	RD RNA binding protein	7	1	0.987	0.0591	0
7229	CCDS12462.1	KRTDAP	chr19	keratinocyte differentiation-associated protein	7	1	0.987	0.0178	0
7230	CCDS3031.1	ZNF148	chr3	zinc finger protein 148	7	1	0.987	0	0
7231	CCDS469.1	PPIH	chr1	peptidylprolyl isomerase H (cyclophilin H)	7	1	0.987	0.0518	0
7232	CCDS32790.1	SPIRE1	chr18	spire homolog 1 (Drosophila)	7	1	0.987	0.0535	0
7233	CCDS4202.1	CDC25C	chr5	cell division cycle 25 homolog C (S. pombe)	7	1	0.987	0.245	0
7234	CCDS10462.2	GBL	chr16	G protein beta subunit-like	4	1	0.987	0.028	0
7235	CCDS1404.1	CAMSAP1L1	chr1	calmodulin regulated spectrin-associated protein 1-like 1	4	1	0.987	0.0428	0
7236	CCDS5337.1	RBAK	chr7	RB-associated KRAB zinc finger	5	1	0.987	0	0
7237	CCDS11419.1	RAB5C	chr17	\RAB5C, member RAS oncogene family\	7	1	0.987	0.095	0
7238	CCDS5496.1	H2AFV	chr7	\H2A histone family, member V\	7	1	0.987	0.505	0
7239	CCDS12593.1	RABAC1	chr19	Rab acceptor 1 (prenylated)	7	1	0.987	0.0081	0
7240	CCDS13995.1	SMCR7L	chr22	\Smith-Magenis syndrome chromosome region, candidate 7-like\	7	1	0.987	0.0249	0
7241	CCDS10575.1	SYT17	chr16	synaptotagmin XVII	5	1	0.987	0	0
7242	CCDS13100.1	HAO1	chr20	hydroxyacid oxidase (glycolate oxidase) 1	7	1	0.987	0	0
7243	CCDS4738.1	FKBPL	chr6	FK506 binding protein like	7	1	0.987	0	0
7244	CCDS6221.1	PXMP3	chr8	\peroxisomal membrane protein 3, 35kDa\	7	1	0.987	0.107	0
7245	CCDS1771.1	YPEL5	chr2	yippee-like 5 (Drosophila)	7	1	0.987	NA	0
7246	CCDS6076.1	DCTN6	chr8	dynactin 6	6	1	0.987	0	0
7247	CCDS14301.1	RBM3	chrX	\RNA binding motif (RNP1, RRM) protein 3\	7	1	0.987	NA	0
7248	CCDS4921.1	TNFRSF21	chr6	\tumor necrosis factor receptor superfamily, member 21\	7	1	0.987	0	0
7249	CCDS9527.1	MCF2L	chr13	MCF.2 cell line derived transforming sequence-like	6	1	0.987	0.0506	0
7250	CCDS6201.1	PREX2	chr8	\phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2\	7	1	0.987	0.0219	0
7251	CCDS9884.1	PTPN21	chr14	\protein tyrosine phosphatase, non-receptor type 21\	6	1	0.987	0.198	0
7252	CCDS34037.1	PPP3CA	chr4	\protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform\	7	1	0.987	0	0
7253	CCDS34474.1	DEFB114	chr6	\defensin, beta 114\	6	1	0.987	0	0
7254	CCDS1043.1	S100A3	chr1	S100 calcium binding protein A3	7	1	0.987	0.18	0
7255	CCDS8774.1	ARF3	chr12	ADP-ribosylation factor 3	7	1	0.987	0.0939	0
7256	CCDS9873.1	GTF2A1	chr14	\general transcription factor IIA, 1, 19/37kDa\	6	1	0.987	0	0
7257	CCDS8498.1	ACAD8	chr11	\acyl-Coenzyme A dehydrogenase family, member 8\	7	1	0.987	0	0
7258	CCDS3013.1	KPNA1	chr3	karyopherin alpha 1 (importin alpha 5)	7	1	0.987	0.0904	0
7259	CCDS4763.1	HLA-DOA	chr6	\major histocompatibility complex, class II, DO alpha\	7	1	0.987	0.0464	0
7260	CCDS7963.1	YPEL4	chr11	yippee-like 4 (Drosophila)	6	1	0.987	0.118	0
7261	CCDS43114.1	MINA	chr3	MYC induced nuclear antigen	7	1	0.987	0	0
7262	CCDS10678.1	SEPT1	chr16	septin 1	6	1	0.987	0.198	0
7263	CCDS41801.1	CTDSP2	chr12	\CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2\	4	1	0.987	0	0
7264	CCDS6668.1	HNRNPK	chr9	heterogeneous nuclear ribonucleoprotein K	6	1	0.987	0.00303	0
7265	CCDS8742.1	PRICKLE1	chr12	prickle homolog 1 (Drosophila)	7	1	0.987	0.0734	0
7266	CCDS12608.1	CXCL17	chr19	chemokine (C-X-C motif) ligand 17	7	1	0.987	0.0973	0
7267	CCDS43899.1	C9orf116	chr9	chromosome 9 open reading frame 116	6	1	0.987	0.0449	0
7268	CCDS3933.2	PRKAA1	chr5	\protein kinase, AMP-activated, alpha 1 catalytic subunit\	4	1	0.987	0.0054	0
7269	CCDS13956.1	H1F0	chr22	\H1 histone family, member 0\	6	1	0.987	0.0161	0
7270	CCDS2818.1	HYAL2	chr3	hyaluronoglucosaminidase 2	7	1	0.987	0.0923	0
7271	CCDS30775.1	CNN3	chr1	\calponin 3, acidic\	6	1	0.987	0.0274	0
7272	CCDS10670.1	TBX6	chr16	T-box 6	4	1	0.987	0.0606	0
7273	CCDS11659.1	DDX5	chr17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	7	1	0.987	0.154	0
7274	CCDS31127.1	ZNF692	chr1	zinc finger protein 692	6	1	0.987	0.0931	0
7275	CCDS3292.1	TPRG1	chr3	tumor protein p63 regulated 1	7	1	0.987	NA	0
7276	CCDS12933.1	U2AF2	chr19	U2 small nuclear RNA auxiliary factor 2	7	1	0.987	0.142	0
7277	CCDS14733.1	L1CAM	chrX	L1 cell adhesion molecule	7	1	0.987	NA	0
7278	CCDS42092.1	WDR90	chr16	WD repeat domain 90	4	1	0.987	0.115	0
7279	CCDS5849.1	ATP6V0A4	chr7	\ATPase, H+ transporting, lysosomal V0 subunit a4\	6	1	0.987	0.0156	0
7280	CCDS32881.1	VMAC	chr19	vimentin-type IF-associated coiled-coil protein	4	1	0.987	0.129	0
7281	CCDS33473.1	C20orf142	chr20	chromosome 20 open reading frame 142	6	1	0.987	0.0101	0
7282	CCDS4816.1	MAPK14	chr6	mitogen-activated protein kinase 14	6	1	0.987	0.213	0
7283	CCDS4981.1	SLC17A5	chr6	\solute carrier family 17 (anion/sugar transporter), member 5\	6	1	0.987	0	0
7284	CCDS6567.1	IL11RA	chr9	\interleukin 11 receptor, alpha\	6	1	0.987	0.0931	0
7285	CCDS1873.1	OTX1	chr2	orthodenticle homeobox 1	7	1	0.987	0	0
7286	CCDS741.1	RPL5	chr1	ribosomal protein L5	7	1	0.987	0.0535	0
7287	CCDS42988.1	DDTL	chr22	D-dopachrome tautomerase-like	3	1	0.987	0.118	0
7288	CCDS270.1	PAFAH2	chr1	\platelet-activating factor acetylhydrolase 2, 40kDa\	7	1	0.987	0.0535	0
7289	CCDS2160.1	IMP4	chr2	\IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)\	6	1	0.987	0.249	0
7290	CCDS4825.1	CPNE5	chr6	copine V	7	1	0.987	0.14	0
7291	CCDS7677.1	ZNF511	chr10	zinc finger protein 511	7	1	0.987	0.161	0
7292	CCDS762.1	SLC35A3	chr1	\solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3\	4	1	0.987	0.308	0
7293	CCDS13049.1	ProSAPiP1	chr20	ProSAPiP1 protein	6	1	0.987	0.152	0
7294	CCDS10035.1	TMEM85	chr15	transmembrane protein 85	7	1	0.987	0	0
7295	CCDS32139.1	PSMC1	chr14	\proteasome (prosome, macropain) 26S subunit, ATPase, 1\	6	1	0.987	0.101	0
7296	CCDS13795.1	MAPK1	chr22	mitogen-activated protein kinase 1	7	1	0.987	0	0
7297	CCDS30787.1	WDR47	chr1	WD repeat domain 47	5	1	0.987	0	0
7298	CCDS7911.1	TP53I11	chr11	tumor protein p53 inducible protein 11	7	1	0.987	0.0535	0
7299	CCDS4345.1	UBLCP1	chr5	ubiquitin-like domain containing CTD phosphatase 1	5	1	0.987	0	0
7300	CCDS6733.1	NANS	chr9	N-acetylneuraminic acid synthase	7	1	0.987	0.145	0
7301	CCDS14026.2	SEPT3	chr22	septin 3	7	1	0.987	0.0885	0
7302	CCDS32873.1	TJP3	chr19	tight junction protein 3 (zona occludens 3)	5	1	0.987	0	0
7303	CCDS4800.1	SCUBE3	chr6	\signal peptide, CUB domain, EGF-like 3\	7	1	0.987	0	0
7304	CCDS30938.1	CENPL	chr1	centromere protein L	5	1	0.987	0.213	0
7305	CCDS5482.1	YKT6	chr7	YKT6 v-SNARE homolog (S. cerevisiae)	7	1	0.987	0.136	0
7306	CCDS4034.1	CRHBP	chr5	corticotropin releasing hormone binding protein	7	1	0.987	0	0
7307	CCDS11551.1	SPOP	chr17	speckle-type POZ protein	6	1	0.987	0	0
7308	CCDS11746.1	CYGB	chr17	cytoglobin	7	1	0.987	0	0
7309	CCDS10163.1	ALDH1A2	chr15	\aldehyde dehydrogenase 1 family, member A2\	7	1	0.987	0	0
7310	CCDS14034.1	NFAM1	chr22	NFAT activating protein with ITAM motif 1	6	1	0.987	0.11	0
7311	CCDS13971.1	KCNJ4	chr22	\potassium inwardly-rectifying channel, subfamily J, member 4\	6	1	0.987	0.0624	0
7312	CCDS5817.1	CPA2	chr7	carboxypeptidase A2 (pancreatic)	7	1	0.987	0	0
7313	CCDS5662.1	PDAP1	chr7	PDGFA associated protein 1	7	1	0.987	0.266	0
7314	CCDS6891.1	PTGES2	chr9	prostaglandin E synthase 2	6	1	0.987	0.067	0
7315	CCDS10029.1	GREM1	chr15	\gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)\	7	1	0.987	0	0
7316	CCDS11571.1	SPATA20	chr17	spermatogenesis associated 20	7	1	0.987	0.299	0
7317	CCDS10009.1	CYFIP1	chr15	cytoplasmic FMR1 interacting protein 1	7	1	0.987	0.0412	0
7318	CCDS5609.1	RUNDC3B	chr7	RUN domain containing 3B	7	1	0.987	0	0
7319	CCDS42582.1	ZC3H4	chr19	zinc finger CCCH-type containing 4	3	1	0.987	0	0
7320	CCDS11290.1	FNDC8	chr17	fibronectin type III domain containing 8	7	1	0.987	0.0371	0
7321	CCDS43369.1	UBE2D2	chr5	\ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)\	4	1	0.987	NA	0
7322	CCDS6289.1	PABPC1	chr8	\poly(A) binding protein, cytoplasmic 1\	7	1	0.987	0.139	0
7323	CCDS164.1	SPEN	chr1	\spen homolog, transcriptional regulator (Drosophila)\	6	1	0.987	0	0
7324	CCDS7088.1	SEC61A2	chr10	Sec61 alpha 2 subunit (S. cerevisiae)	7	1	0.987	0.0647	0
7325	CCDS6394.1	LY6E	chr8	\lymphocyte antigen 6 complex, locus E\	7	1	0.987	0.0122	0
7326	CCDS6310.1	TMEM74	chr8	transmembrane protein 74	7	1	0.987	0	0
7327	CCDS3136.1	ZIC1	chr3	\Zic family member 1 (odd-paired homolog, Drosophila)\	7	1	0.987	0	0
7328	CCDS9819.1	C14orf43	chr14	chromosome 14 open reading frame 43	7	1	0.987	0.0769	0
7329	CCDS4012.1	MAP1B	chr5	microtubule-associated protein 1B	6	1	0.987	0.082	0
7330	CCDS4577.1	HIST1H1C	chr6	\histone cluster 1, H1c\	4	1	0.987	0.0433	0
7331	CCDS31095.1	OR6F1	chr1	\olfactory receptor, family 6, subfamily F, member 1\	7	1	0.987	0.161	0
7332	CCDS4154.1	SLC22A5	chr5	\solute carrier family 22 (organic cation/carnitine transporter), member 5\	7	1	0.987	0.103	0
7333	CCDS8643.1	ETV6	chr12	ets variant 6	7	1	0.987	0.0535	0
7334	CCDS522.1	PRDX1	chr1	peroxiredoxin 1	7	1	0.987	0.0537	0
7335	CCDS10272.1	MPI	chr15	mannose phosphate isomerase	7	1	0.987	0.0941	0
7336	CCDS33196.1	CHAC2	chr2	\ChaC, cation transport regulator homolog 2 (E. coli)\	5	1	0.987	0	0
7337	CCDS32307.1	ARNT2	chr15	aryl-hydrocarbon receptor nuclear translocator 2	7	1	0.987	0	0
7338	CCDS1415.1	IPO9	chr1	importin 9	7	1	0.987	0	0
7339	CCDS5137.1	PTPRK	chr6	\protein tyrosine phosphatase, receptor type, K\	7	1	0.987	0.0535	0
7340	CCDS14003.1	MKL1	chr22	megakaryoblastic leukemia (translocation) 1	6	1	0.987	0.269	0
7341	CCDS3223.1	KCNMB2	chr3	\potassium large conductance calcium-activated channel, subfamily M, beta member 2\	7	1	0.987	0.301	0
7342	CCDS33322.1	SP5	chr2	Sp5 transcription factor	4	1	0.987	0.0001	0
7343	CCDS14571.1	KLHL13	chrX	kelch-like 13 (Drosophila)	5	1	0.987	NA	0
7344	CCDS9811.1	ZFYVE1	chr14	\zinc finger, FYVE domain containing 1\	7	1	0.987	0.0164	0
7345	CCDS33490.1	TSHZ2	chr20	teashirt zinc finger homeobox 2	6	1	0.987	0.0879	0
7346	CCDS10187.1	FBXL22	chr15	F-box and leucine-rich repeat protein 22	4	1	0.987	0.0535	0
7347	CCDS13480.1	PHACTR3	chr20	phosphatase and actin regulator 3	7	1	0.987	0	0
7348	CCDS3711.1	MYOZ2	chr4	myozenin 2	7	1	0.987	0.0879	0
7349	CCDS7076.1	IL2RA	chr10	\interleukin 2 receptor, alpha\	7	1	0.987	0.0688	0
7350	CCDS12769.1	RPS11	chr19	ribosomal protein S11	6	1	0.987	0.0444	0
7351	CCDS5127.1	FABP7	chr6	\fatty acid binding protein 7, brain\	7	1	0.987	0.02	0
7352	CCDS42629.1	LOC284417	chr19	hCG1651476	4	1	0.987	0.214	0
7353	CCDS5244.1	RGS17	chr6	regulator of G-protein signaling 17	7	1	0.987	0.0971	0
7354	CCDS9788.1	ZFYVE26	chr14	\zinc finger, FYVE domain containing 26\	5	1	0.987	0.124	0
7355	CCDS3499.1	TMEM165	chr4	transmembrane protein 165	7	1	0.987	0.0535	0
7356	CCDS9094.1	HSP90B1	chr12	\heat shock protein 90kDa beta (Grp94), member 1\	6	1	0.987	0.0253	0
7357	CCDS647.1	SFRS11	chr1	\splicing factor, arginine/serine-rich 11\	6	1	0.987	0	0
7358	CCDS33091.1	ZNF528	chr19	zinc finger protein 528	4	1	0.987	0.0535	0
7359	CCDS32986.1	ANKRD27	chr19	ankyrin repeat domain 27 (VPS9 domain)	5	1	0.987	0.0605	0
7360	CCDS8821.2	KRT80	chr12	keratin 80	7	1	0.987	0.0524	0
7361	CCDS11104.1	TMEM102	chr17	transmembrane protein 102	4	1	0.987	0.109	0
7362	CCDS41305.1	EPHA10	chr1	EPH receptor A10	4	1	0.987	0.0205	0
7363	CCDS10112.1	SPG11	chr15	spastic paraplegia 11 (autosomal recessive)	7	1	0.987	0	0
7364	CCDS11813.1	FOXK2	chr17	forkhead box K2	4	1	0.987	0.107	0
7365	CCDS32739.1	FOXJ1	chr17	forkhead box J1	6	1	0.987	0.109	0
7366	CCDS30944.1	RFWD2	chr1	ring finger and WD repeat domain 2	5	1	0.987	0	0
7367	CCDS11977.1	CDH20	chr18	\cadherin 20, type 2\	6	1	0.987	0.0489	0
7368	CCDS34156.1	GPX8	chr5	glutathione peroxidase 8	7	1	0.987	0.0356	0
7369	CCDS6606.1	MELK	chr9	maternal embryonic leucine zipper kinase	7	1	0.987	0	0
7370	CCDS4789.1	HMGA1	chr6	high mobility group AT-hook 1	7	1	0.987	0.0249	0
7371	CCDS34087.1	C4orf18	chr4	chromosome 4 open reading frame 18	3	1	0.987	0	0
7372	CCDS325.1	RAB42	chr1	\RAB42, member RAS oncogene family\	7	1	0.987	0	0
7373	CCDS8953.1	CDK4	chr12	cyclin-dependent kinase 4	7	1	0.987	0.0199	0
7374	CCDS12510.1	SPINT2	chr19	\serine peptidase inhibitor, Kunitz type, 2\	7	1	0.987	0	0
7375	CCDS294.1	FAM46B	chr1	\family with sequence similarity 46, member B\	6	1	0.987	0.182	0
7376	CCDS13336.1	WISP2	chr20	WNT1 inducible signaling pathway protein 2	7	1	0.987	0.332	0
7377	CCDS7054.1	DIP2C	chr10	DIP2 disco-interacting protein 2 homolog C (Drosophila)	3	1	0.987	0	0
7378	CCDS41429.1	NR1I3	chr1	\nuclear receptor subfamily 1, group I, member 3\	6	1	0.987	0	0
7379	CCDS6711.1	FBP2	chr9	\fructose-1,6-bisphosphatase 2\	3	1	0.987	0.0384	0
7380	CCDS35340.1	TAF9B	chrX	\TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa\	4	1	0.987	NA	0
7381	CCDS5214.1	MAP3K7IP2	chr6	mitogen-activated protein kinase kinase kinase 7 interacting protein 2	7	1	0.987	0.0343	0
7382	CCDS14083.1	MLC1	chr22	megalencephalic leukoencephalopathy with subcortical cysts 1	7	1	0.987	0.0941	0
7383	CCDS7694.1	B4GALNT4	chr11	\beta-1,4-N-acetyl-galactosaminyl transferase 4\	5	1	0.987	0.0327	0
7384	CCDS41280.1	SH2D5	chr1	SH2 domain containing 5	4	1	0.987	0.0826	0
7385	CCDS7086.1	UPF2	chr10	UPF2 regulator of nonsense transcripts homolog (yeast)	7	1	0.987	0.02	0
7386	CCDS34587.1	LFNG	chr7	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	6	1	0.987	0.0319	0
7387	CCDS14138.1	MID1	chrX	midline 1 (Opitz/BBB syndrome)	7	1	0.987	NA	0
7388	CCDS8441.1	ASAM	chr11	adipocyte-specific adhesion molecule	7	1	0.987	0.157	0
7389	CCDS7155.1	RAB18	chr10	\RAB18, member RAS oncogene family\	5	1	0.987	0.213	0
7390	CCDS34209.1	MAN2A1	chr5	\mannosidase, alpha, class 2A, member 1\	7	1	0.987	0	0
7391	CCDS32684.1	CA10	chr17	carbonic anhydrase X	7	1	0.987	0.279	0
7392	CCDS10905.1	KIAA0174	chr16	KIAA0174	7	1	0.987	0	0
7393	CCDS2759.1	DHX30	chr3	DEAH (Asp-Glu-Ala-His) box polypeptide 30	6	1	0.987	0.0535	0
7394	CCDS32907.1	DNM2	chr19	dynamin 2	5	1	0.987	0	0
7395	CCDS5052.1	POPDC3	chr6	popeye domain containing 3	7	1	0.987	0.0267	0
7396	CCDS1981.1	RNF181	chr2	ring finger protein 181	7	1	0.987	0.0546	0
7397	CCDS34674.1	SEMA3E	chr7	\sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E\	7	1	0.987	0.0864	0
7398	CCDS1693.1	RDH14	chr2	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	4	1	0.987	0.129	0
7399	CCDS11797.1	LRRC45	chr17	leucine rich repeat containing 45	7	1	0.987	0.0554	0
7400	CCDS9542.2	CDC16	chr13	cell division cycle 16 homolog (S. cerevisiae)	6	1	0.987	0.244	0
7401	CCDS3630.1	HERC5	chr4	hect domain and RLD 5	5	1	0.987	0.0934	0
7402	CCDS3128.1	PAQR9	chr3	progestin and adipoQ receptor family member IX	7	1	0.987	0.0486	0
7403	CCDS33179.1	FAM98A	chr2	\family with sequence similarity 98, member A\	7	1	0.987	0	0
7404	CCDS33887.1	C3orf57	chr3	chromosome 3 open reading frame 57	7	1	0.987	NA	0
7405	CCDS554.1	FAF1	chr1	Fas (TNFRSF6) associated factor 1	7	1	0.987	0	0
7406	CCDS7423.1	HHEX	chr10	hematopoietically expressed homeobox	7	1	0.987	0	0
7407	CCDS1132.1	SEMA4A	chr1	\sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A\	7	1	0.987	0.0776	0
7408	CCDS43762.1	ENY2	chr8	enhancer of yellow 2 homolog (Drosophila)	4	1	0.987	0	0
7409	CCDS31674.1	C11orf53	chr11	chromosome 11 open reading frame 53	7	1	0.987	0.0707	0
7410	CCDS12341.1	FAM32A	chr19	\family with sequence similarity 32, member A\	7	1	0.987	0.106	0
7411	CCDS13714.1	UBE2G2	chr21	\ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)\	7	1	0.987	0	0
7412	CCDS13953.1	PDXP	chr22	\pyridoxal (pyridoxine, vitamin B6) phosphatase\	4	1	0.987	0.0145	0
7413	CCDS33863.1	DBR1	chr3	debranching enzyme homolog 1 (S. cerevisiae)	7	1	0.987	0.0735	0
7414	CCDS8900.1	RAB5B	chr12	\RAB5B, member RAS oncogene family\	7	1	0.987	0.187	0
7415	CCDS13734.1	MCM3AP	chr21	minichromosome maintenance complex component 3 associated protein	7	1	0.987	0.0957	0
7416	CCDS1244.1	RGS5	chr1	regulator of G-protein signaling 5	7	1	0.987	0.0535	0
7417	CCDS6763.1	SLC44A1	chr9	\solute carrier family 44, member 1\	7	1	0.987	0.213	0
7418	CCDS10168.2	SLTM	chr15	\SAFB-like, transcription modulator\	6	1	0.987	0	0
7419	CCDS3361.1	MXD4	chr4	MAX dimerization protein 4	6	1	0.987	0	0
7420	CCDS4065.1	TMEM161B	chr5	transmembrane protein 161B	5	1	0.987	0.505	0
7421	CCDS32110.1	SMOC1	chr14	SPARC related modular calcium binding 1	7	1	0.987	0.0781	0
7422	CCDS1683.1	TRIB2	chr2	tribbles homolog 2 (Drosophila)	6	1	0.987	0	0
7423	CCDS5365.1	AGR3	chr7	anterior gradient homolog 3 (Xenopus laevis)	6	1	0.987	0	0
7424	CCDS31832.1	RPS26	chr12	ribosomal protein S26	4	1	0.987	0.017	0
7425	CCDS10286.1	UBE2Q2	chr15	ubiquitin-conjugating enzyme E2Q family member 2	5	1	0.987	0	0
7426	CCDS8785.1	DNAJC22	chr12	\DnaJ (Hsp40) homolog, subfamily C, member 22\	7	1	0.987	0.0216	0
7427	CCDS1643.1	TPO	chr2	thyroid peroxidase	7	1	0.987	0.303	0
7428	CCDS13261.1	RBM12	chr20	RNA binding motif protein 12	6	1	0.987	0	0
7429	CCDS10501.1	ZNF75A	chr16	zinc finger protein 75a	4	1	0.987	0	0
7430	CCDS10896.1	VAC14	chr16	Vac14 homolog (S. cerevisiae)	7	1	0.987	0.0357	0
7431	CCDS3896.1	GOLPH3	chr5	golgi phosphoprotein 3 (coat-protein)	7	1	0.987	0	0
7432	CCDS5453.1	SFRP4	chr7	secreted frizzled-related protein 4	7	1	0.987	0.0448	0
7433	CCDS14201.1	MBTPS2	chrX	\membrane-bound transcription factor peptidase, site 2\	7	1	0.987	NA	0
7434	CCDS2798.1	NICN1	chr3	nicolin 1	7	1	0.987	0.045	0
7435	CCDS8829.1	KRT6C	chr12	keratin 6C	4	1	0.987	0.0369	0
7436	CCDS9622.1	TGM1	chr14	\transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)\	6	1	0.987	0.0321	0
7437	CCDS31333.1	TNNI2	chr11	\troponin I type 2 (skeletal, fast)\	4	1	0.987	0.0119	0
7438	CCDS33358.1	MARS2	chr2	\methionyl-tRNA synthetase 2, mitochondrial\	7	1	0.987	0.00743	0
7439	CCDS13089.1	PROKR2	chr20	prokineticin receptor 2	6	1	0.987	0	0
7440	CCDS7811.1	BTBD10	chr11	BTB (POZ) domain containing 10	7	1	0.987	0.0357	0
7441	CCDS6687.1	DIRAS2	chr9	\DIRAS family, GTP-binding RAS-like 2\	7	1	0.987	0.0535	0
7442	CCDS2221.2	FIGN	chr2	fidgetin	4	1	0.987	0.0081	0
7443	CCDS13108.1	ANKRD5	chr20	ankyrin repeat domain 5	7	1	0.987	0	0
7444	CCDS31220.1	NUDT13	chr10	nudix (nucleoside diphosphate linked moiety X)-type motif 13	7	1	0.987	0.152	0
7445	CCDS2745.1	TSP50	chr3	testes-specific protease 50	6	1	0.987	0.216	0
7446	CCDS8194.1	FGF4	chr11	fibroblast growth factor 4	4	1	0.987	0.0161	0
7447	CCDS34200.1	RASA1	chr5	RAS p21 protein activator (GTPase activating protein) 1	5	1	0.987	0	0
7448	CCDS405.1	THRAP3	chr1	thyroid hormone receptor associated protein 3	6	1	0.987	0.0157	0
7449	CCDS33924.1	ACAP2	chr3	\ArfGAP with coiled-coil, ankyrin repeat and PH domains 2\	5	1	0.987	0	0
7450	CCDS1365.1	RNF2	chr1	ring finger protein 2	7	1	0.987	0	0
7451	CCDS11324.1	HNF1B	chr17	HNF1 homeobox B	7	1	0.987	0	0
